,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87
10,-146.13611,126.141685,-30.062815,30.006144,0.7324343,18.368517,-9.625859,-1.2738072,-2.433744,-1.7911948,-0.29343092,1.4682343,1.3589414,1.6294385,2.589624,-0.21268937,-0.43499497,-2.1846833,1.8764375,-2.6185517,0.13753591,0.79697543,-0.86910564,-2.4283946,5.651662,5.4157357,1.8596104,3.1322255,2.488214,1.8539077,0.59432083,0.48148245,-1.0409831,-0.06533167,1.1162179,1.6767757,2.7373958,6.552337,5.7387147,5.2678156,5684.488,1363.2577,803.1341,668.58026,538.8829,335.5815,240.20607,236.29492,186.62961,172.1153,134.65643,131.50125,111.98366,92.35576,123.58898,97.52978,100.9693,83.81578,66.844124,86.529305,70.967766,67.09069,67.88845,58.312912,69.14238,76.59736,100.434166,80.38501,74.94556,70.27948,68.45634,65.4435,47.411156,58.983578,55.720352,53.261913,63.159412,87.24927,84.48323,75.88911,14.564298813316826,12.391753248733544,16.570477115584303,17.848535672056506,18.61293117247036,25.32781084169906,41.61770430341261
11,-309.51865,121.24622,-8.387716,32.25838,0.17998895,8.49868,-3.1264372,0.015694,1.1210902,2.0103157,-2.2453635,4.6113086,0.9261025,0.22271223,0.8168204,-1.877331,0.17971691,-1.4982686,0.36710224,-2.7737193,-0.37477812,-2.1413472,-2.021067,-3.6292691,-1.899961,-1.8968424,-1.4772264,-1.3118145,-1.0041223,-1.0935341,-2.3994696,-2.2117074,-3.162599,-1.5299951,-1.0881594,0.4295509,1.9989538,2.508094,0.8523664,1.4366513,10104.23,1462.5359,1324.278,756.1991,637.7454,456.84113,229.51901,208.66455,153.25171,146.03279,135.58101,101.41388,108.02729,84.276955,67.86761,60.31781,67.997375,69.319786,92.49418,60.913128,61.70946,54.18216,53.803688,38.974136,37.40493,37.63179,40.549534,38.792267,38.360256,41.088924,44.055603,42.193626,39.62578,43.108273,55.724895,89.351105,114.617645,113.58014,85.55725,91.058945,19.43243819265632,12.173976691325688,15.913648660010887,17.922230268289592,17.361495431412614,19.363813897528633,37.58098349669534
12,-183.43791,134.44765,1.9868376,29.137423,0.7781179,27.104269,-4.9406385,9.672621,1.400266,5.657172,-5.3613048,7.645947,3.8532267,2.751166,1.5588495,1.5019318,2.4924798,-0.15280026,6.3430295,-2.928504,0.3943922,-0.028674038,2.2368712,-4.0079865,0.3698281,0.5951786,3.6987774,-1.2847788,0.24554725,2.8720396,-1.9453137,0.90018284,0.18697199,1.247654,0.6163674,0.7594346,1.5928141,1.6331265,-1.1550549,0.60336536,5989.6973,1338.9993,1027.894,741.4971,519.06305,451.43088,265.14978,275.7299,236.31598,237.80273,170.49394,168.8992,118.9757,92.53419,107.8992,110.82103,108.27336,68.89633,86.6491,62.6942,76.99975,61.53643,90.76222,63.88941,67.69669,50.52751,51.90983,50.553356,46.532154,44.092865,51.131897,49.372112,37.345707,37.687138,46.294212,41.555336,43.94984,41.30362,37.04861,48.524414,16.687329912234446,10.986441399349081,16.216004902738007,17.525864785738797,18.943723791277673,23.66024017665413,40.821118653160134
13,-165.62689,145.63524,10.354424,38.701977,0.61554694,17.249464,-12.353453,12.312269,-8.425012,-8.257308,5.081309,2.4040053,-3.8122714,0.3554929,0.16724855,-7.224799,5.607947,1.1807857,-1.487685,1.9961181,-1.9863664,-2.0157433,1.7142099,-0.50139487,-1.1850148,-5.048549,5.0474234,-0.10728003,1.958914,4.7114463,4.0998774,6.5045605,-1.0850518,3.0986316,0.82489014,1.3089405,1.7489837,3.0060158,0.6758461,-1.1302661,3609.5596,1070.3434,928.0267,1044.9319,537.95026,268.65683,386.06555,186.93872,217.77306,262.73666,264.49072,196.95949,141.49225,105.44224,123.34537,106.15313,99.59589,85.377594,123.94529,79.77835,81.556175,76.34581,61.369972,71.97436,84.47263,75.867165,73.25052,105.91482,121.27305,124.29337,110.75627,90.491516,101.599304,93.38112,81.32084,54.67566,49.289356,51.330917,53.81076,41.72438,17.48520268494791,12.958483537933818,17.30013489758421,19.56421370158574,22.31723129849237,29.487278454444176,43.68107556366929
14,-123.193695,156.37766,-11.971365,38.510185,-11.21197,18.862865,-6.4543605,7.0476303,0.83355373,3.9675987,-4.4995546,1.5150453,-1.718505,3.3407094,1.8857052,-1.8134934,4.792397,-2.1283543,3.9510322,-2.140494,0.49747902,3.1178632,1.6171938,-1.603439,3.1462338,-3.4396539,-0.5565076,-1.5870446,-2.231626,1.1784247,-0.83511704,-1.2853192,-2.5998201,1.7026426,0.012060721,0.5644946,-1.560435,-2.5451431,-3.4346495,-0.7995462,5488.6685,1442.1343,1115.4927,717.9937,473.14688,348.2966,198.53687,165.78337,164.55783,134.57787,135.81342,116.42099,98.70546,103.56178,71.730484,76.1588,104.636,72.77955,58.488327,58.819958,58.43457,72.95001,67.16374,54.875767,56.957874,55.707493,51.55444,49.471878,43.100925,41.24618,44.14362,41.616924,40.955765,41.222122,43.059795,39.618343,35.71732,51.299625,39.484577,32.312683,15.68308488944959,10.248572023398356,15.246228707715389,17.457119233978133,17.86495891182048,20.64250508369371,39.33785953823547
15,-176.06107,113.812065,30.1018,55.95892,-2.815836,34.254498,7.0366273,15.45369,3.2500918,18.313814,-5.392478,11.729716,6.778125,9.599713,4.0192747,2.9910114,13.20032,1.3847611,7.648709,2.1632328,5.3618035,0.9934299,5.475135,0.38871902,3.9130096,0.8529561,4.655099,0.243399,1.2167076,3.0107977,0.88906854,1.2882851,-1.4427236,1.8371357,0.503713,-0.10986511,-1.1667707,2.0289521,-2.0340166,1.7918866,8336.378,1470.9215,1298.197,582.4722,633.62885,332.31845,238.26508,212.65707,242.30443,186.22841,195.0318,124.6064,108.510284,67.6347,61.64522,86.49805,63.265194,56.23784,47.83602,51.63081,56.590523,54.163643,43.48792,47.78107,38.203083,35.84677,34.932163,34.985226,26.074448,30.061045,29.920284,26.544687,24.477625,23.168709,24.49397,24.392351,21.042057,21.068113,20.994354,17.939379,17.232249938966973,10.75512589055859,14.971129212248496,15.848097085746433,17.595638492842745,20.790916161784647,40.88366872553275
16,-179.34235,152.33138,-9.287971,37.254784,3.4450114,13.221755,0.09861547,0.8489008,7.1428246,3.9983153,-4.1996303,4.302786,4.142255,-2.8128388,0.29279462,1.5177544,5.4665055,1.8594748,1.6713345,0.14855611,-0.10077949,-0.118176565,1.0451366,0.25946745,1.574764,-0.3168009,1.6138242,1.8889949,2.5138679,6.132105,0.68377084,2.7761893,3.3142178,0.2629025,-0.93840694,0.0018845791,2.3297951,1.5150623,0.68195635,-0.8355259,4769.019,984.2704,610.83386,531.2362,552.4212,252.00517,200.27298,171.31322,254.49106,163.71407,130.00258,181.5023,111.40256,87.17235,102.4296,81.33535,76.43127,86.36745,82.00864,74.7069,76.3894,66.29453,68.254166,59.106804,55.143322,71.70863,51.807205,65.11726,64.440094,69.19446,80.31849,59.27884,46.351517,48.915634,59.635834,61.049286,59.990356,46.061337,42.63369,47.537586,16.366096588521977,12.36010174821718,16.905109830124683,19.47139083646375,20.63764274299546,25.759617445140965,40.63389385400093
17,-169.84958,106.16454,1.1335787,42.61267,-14.832985,27.715254,-10.071852,5.03593,-3.294783,5.6259975,-8.561319,0.97779673,-1.9899654,-3.911929,-2.5552795,-5.5447664,9.028523,-2.0256681,8.325515,-4.092748,-0.9080457,-0.78690785,-0.9536115,-3.2906823,-1.1875093,0.15913786,-6.0629673,-5.2166634,-3.7550747,3.5752668,2.7107048,8.273781,6.4844313,8.054297,3.9819145,-3.0023232,-0.30321342,0.12654558,-0.41334006,2.387337,3681.691,1207.2689,957.49646,817.1624,489.03076,334.5951,307.0716,203.04831,187.79222,177.15208,217.73457,168.63371,127.522446,108.201416,114.51234,106.72999,80.884964,104.19073,67.71006,76.87613,77.60838,75.82633,56.901615,57.608044,62.769176,52.876545,51.93101,57.079674,52.390934,52.738564,68.19124,96.49061,71.70577,48.294384,66.527275,81.94056,70.367226,47.20847,38.616512,51.199806,14.348501432025696,12.378274677306806,17.277599672317827,20.0359398258868,23.821578281835013,23.916180319506324,45.49527397455702
18,-222.48378,143.3891,17.47971,44.612095,14.477417,24.133873,6.739539,11.493476,4.6903877,9.582683,1.4203064,8.211159,3.9338462,3.2204454,5.328976,0.5025084,3.66223,-0.32998183,2.540916,-1.3500049,-1.05293,-0.7897562,-0.9541326,-1.8000329,0.2995136,-3.7463977,-1.2338438,-1.6584119,-0.39353257,1.8326298,0.19772354,2.334747,1.6650482,2.06842,1.4062115,0.9753643,0.07643967,0.3201624,-2.0459497,-0.21631485,9993.732,1231.1547,1021.8252,917.33905,363.11496,233.73076,200.17566,170.91934,178.20248,146.58305,167.13904,106.887665,124.124825,98.46211,79.313705,69.6571,61.580605,62.65725,60.534435,55.58475,54.672283,56.782837,50.518677,51.939503,44.711006,44.969707,42.237675,39.179234,34.80191,34.341774,28.986446,31.018665,31.309818,39.361538,41.374855,46.88815,36.006306,37.98932,38.065716,41.589287,15.376763219241589,13.344768510850958,16.492355207335684,17.592407618646874,18.157646685523144,20.768484326072176,38.217362249669605
19,-173.13948,158.38513,-2.080591,41.929157,3.3680565,18.53537,2.1281426,-3.7590284,-7.939275,-10.396707,-8.685898,-2.7123282,-3.436487,-3.3140204,-0.5711805,-2.480399,2.602954,4.919697,9.747769,2.5291445,1.9661498,7.2854724,3.0627,-2.5346518,-1.7398157,-2.763016,-0.43409947,-1.046086,1.3204598,5.6670837,3.1980872,5.229948,1.1338016,-3.4927778,-6.082804,-7.041211,-3.2587283,0.09989885,0.36240998,0.18284033,6347.2617,1326.9718,885.44995,703.64325,442.77188,487.38727,181.23848,171.61989,262.55423,256.0392,192.86156,140.51874,170.39891,98.39352,99.718,76.86116,85.78801,82.18503,80.341484,80.96458,63.705166,65.88959,66.63028,68.85005,79.23949,73.792244,70.6448,56.436813,69.45979,67.95469,78.02859,72.48008,43.45592,51.83088,68.21253,54.176094,45.04283,41.15134,48.869705,45.49156,18.29544660964265,11.43780793212603,21.099895849257738,21.185379405785643,24.09011447216667,25.57339704594902,41.32201335262083
